Name,State,Lat,Lng
East Hills,NY,40.7958,-73.6292
Indian Wells,CA,33.7036,-116.3396
Saybrook,IL,40.4281,-88.5263
Tierra Verde,FL,27.6685,-82.7304
Dickens,TX,33.6213,-100.8368
Eyers Grove,PA,41.0936,-76.5189
Buckhead,GA,33.5685,-83.3623
Washington,DC,38.9047,-77.0163
Bridgewater,MA,41.9728,-70.9749
Picacho,AZ,32.709,-111.4908
Cohassett Beach,WA,46.8656,-124.1054
Baroda,MI,41.954,-86.488
The Ranch,MN,47.3198,-95.6952
Burlington,CO,39.3041,-102.2714
Drum Point,MD,38.3325,-76.4295
Dayton,NV,39.258,-119.5677
Grants Pass,OR,42.4333,-123.3317
Fairview,MO,36.8172,-94.0866
Smithville,OH,40.8625,-81.8604
Kempton,IN,40.2881,-86.2294
Tryon,NC,35.2086,-82.2379
Smithfield,VA,36.9754,-76.6162
Brookfield,WI,43.064,-88.1231
Watch Hill,RI,41.3157,-71.8487
Wendover,UT,40.7241,-114.025
Decherd,TN,35.2156,-86.0756
Choudrant,LA,32.5502,-92.5121
Auburn,KY,36.8654,-86.7107
Braggs,OK,35.6634,-95.1986
Old Mystic,CT,41.3854,-71.985
Sarben,NE,41.1662,-101.3044
Kalaoa,HI,19.7369,-156.0122
Ruidoso,NM,33.3647,-105.6432
Bessemer,AL,33.3709,-86.9713
Fingerville,SC,35.1351,-82.0003
Franklin,KS,37.523,-94.6994
Gilmore City,IA,42.7269,-94.4369
Winslow,AR,35.8008,-94.1305
Bancroft,ID,42.7202,-111.883
White Oak,MS,34.6438,-90.3495
Celada,PR,18.2666,-65.9621
Stewartsville,NJ,40.6939,-75.1115
Cold Bay,AK,55.2122,-162.7475
Union,NH,43.4912,-71.0231
Davenport,ND,46.7148,-97.0654
Steep Falls,ME,43.7905,-70.6275
Blucksberg Mountain,SD,44.3593,-103.4538
Tunnelton,WV,39.3929,-79.7466
Boulder,MT,46.2358,-112.1198
Seaford,DE,38.6538,-75.611
South Barre,VT,44.1646,-72.5038
Newcastle,WY,43.851,-104.2123
